# Depth (nm)	315.0 nm	325.0 nm	335.0 nm	345.0 nm	355.0 nm	365.0 nm	375.0 nm	385.0 nm	395.0 nm	405.0 nm	415.0 nm	425.0 nm	435.0 nm	445.0 nm	455.0 nm	465.0 nm	475.0 nm	485.0 nm	495.0 nm	505.0 nm	515.0 nm	525.0 nm	535.0 nm	545.0 nm	555.0 nm	565.0 nm	575.0 nm	585.0 nm	595.0 nm	605.0 nm	615.0 nm	625.0 nm	635.0 nm	645.0 nm	655.0 nm	665.0 nm	675.0 nm	685.0 nm	695.0 nm	705.0 nm	715.0 nm	725.0 nm	735.0 nm	745.0 nm	755.0 nm	765.0 nm	775.0 nm	785.0 nm	795.0 nm	805.0 nm	815.0 nm	825.0 nm	835.0 nm	845.0 nm
165.000000	15440220.575195	38415305.277344	53818750.508301	65768672.571777	91831208.215820	161221460.335449	264567143.697266	383301693.950195	698400394.654785	1377158482.291992	1805370399.116699	2061784077.555664	2359447451.100586	3098577026.826172	3603346086.908203	3932341733.797363	4358849804.498047	4659252536.784668	5238761320.450195	5631162657.290039	5888579560.716309	6388609731.670410	6703971136.261230	6798645763.669922	6975902842.053711	7107553973.711426	7257368638.723145	7392607720.047363	7139876505.307129	6936347556.725586	6385163148.294922	5760561616.944824	5443741189.787109	5234256861.855469	5070040231.514160	5447094919.498535	5757082676.419922	5565735556.007324	5864256118.427734	6270710313.816895	5923196957.854004	5419469198.717285	5725642222.843262	5323911778.823730	3656305460.614746	961472031.502441	613715899.938965	151612702.708008	27096000.399902	4234477.092285	550208.065918	67020.966309	8873.909668	1257.800781
166.000000	14813395.073242	36757011.166992	51390551.245117	62749067.430176	87710272.861816	154473548.927734	254556166.323730	370445701.717773	677759091.861816	1340497934.613281	1761441687.326660	2014944676.647461	2308746612.975098	3034708399.620117	3531939762.070312	3857806863.260254	4280696118.311523	4581170461.360840	5157900786.214355	5551921314.643555	5813440854.249512	6315861223.403320	6638235593.307617	6745468745.307129	6935491232.829102	7075686985.272949	7223717452.062988	7346823733.178223	7078847361.787109	6862372591.280273	6310595401.670410	5697674531.574707	5399088914.714355	5211801413.701172	5068897698.122070	5463216621.115234	5784923165.473145	5596726952.504883	5896567805.815430	6301996651.424805	5948633223.121094	5438423235.941406	5740985913.443848	5332528936.870117	3655837546.672852	957520462.123535	608470443.344238	149195732.214355	26401253.495117	4088246.161133	527813.331543	64198.434082	8581.487793	1243.702148
167.000000	14212025.866211	35170323.507324	49071920.659668	59868100.371582	83774298.821289	148008256.332520	244924463.198242	358021563.876953	657728786.485840	1304814285.243652	1718582618.410645	1969169865.613281	2259135393.889648	2972155830.382324	3461947243.732422	3784682337.387207	4203939091.911621	4504388841.798828	5078276817.525879	5473793556.283203	5739312325.462402	6244138066.086426	6573559601.804688	6693231152.374023	6895585055.968750	7043544660.890625	7188986668.596680	7299546263.866211	7016613658.509277	6788045313.624023	6236826370.897461	5636576728.865723	5356887864.946777	5191930886.901367	5069973705.119629	5481036876.647949	5813698491.498047	5627840397.045898	5928253765.375488	6331970172.828613	5972325198.570312	5455314318.733398	5753629172.397461	5338084235.689941	3652894800.641113	952857790.134277	602793240.404297	146695752.186523	25701206.397461	3943450.844727	505989.752930	61511.429199	8316.597656	1234.320312
168.000000	13635078.769043	33652149.332520	46857914.054199	57119406.133789	80014982.898438	141813737.998535	235657647.356934	346014751.317871	638291364.684082	1270081477.834961	1676767129.416504	1924435427.145020	2210590342.401855	2910892157.474609	3393340510.078613	3712941489.008789	4128553927.205078	4428886577.651855	4999872200.674316	5396767761.504395	5666187535.682129	6173434650.024902	6509928249.791504	6641896929.478516	6856125697.137695	7011064985.848145	7153142786.607910	7250795173.790039	6953252382.787598	6713480661.447266	6163972177.780762	5577352993.777344	5317174607.515137	5174629094.914062	5073207551.267578	5500458619.061523	5843292038.381836	5658963749.323730	5959206173.844238	6360531088.774902	5994194269.528320	5470086134.954102	5763529309.901367	5340556210.431641	3647478927.519043	947492201.016113	596694266.071777	144116994.235352	24996982.418945	3800312.466797	484769.389648	58963.755371	8079.598633	1229.670410
169.000000	13081561.628418	32199529.315918	44743809.906738	54496911.703613	76424394.710449	135878646.109375	226741878.255859	334411224.500977	619429250.449219	1236274151.593750	1635969792.394043	1880717694.428711	2163088512.485352	2850890783.286133	3326092102.034180	3642558168.203613	4054516289.635742	4354642948.468750	4922670007.571289	5320832411.416504	5594059805.280273	6103744523.645508	6447325176.363281	6591428655.249512	6817054523.013184	6978188356.240234	7116156973.335938	7200595793.271973	6888844576.330078	6638794801.976074	6092146854.359863	5520083492.405762	5279979668.053711	5159873803.876953	5078533649.272461	5521381329.536621	5873585574.325195	5689985015.743164	5989318895.527344	6387582631.524902	6014165569.257812	5482686591.244141	5770648956.383301	5339929247.681641	3639596238.974121	941433157.312012	590184243.048828	141463824.114746	24289711.683105	3659049.839355	464183.422363	56559.014648	7870.814941	1229.756836
170.000000	12550522.607910	30809631.990723	42725099.792969	51994822.896973	72994959.941406	130192108.732910	218163840.989258	323197416.933105	601125389.619141	1203367622.687988	1596165798.927734	1837993538.698730	2116607452.796387	2792125662.697754	3260175112.050781	3573506732.081543	3981802298.635254	4281637604.214355	4846653583.195312	5245976070.772461	5522922191.603027	6035060382.498047	6385732609.547852	6541787666.204102	6778313082.300293	6944857778.218750	7078005155.399414	7148978836.934082	6823475086.439453	6564104792.225586	6021462023.583008	5464843556.083008	5245327450.691895	5147636785.708008	5085881680.298828	5543701267.079590	5904459513.809570	5720792590.584473	6018487704.479492	6413031252.458496	6032168128.547852	5493067914.992188	5774956134.371094	5336193615.041016	3629257641.648438	934691381.487793	583274622.816895	138740734.311523	23580529.312988	3519878.913574	444262.095703	54300.610840	7690.530273	1234.577148
171.000000	12041048.559570	29479748.229980	40797478.772461	49607611.560547	69719444.356934	124743709.856934	209910726.309082	312360219.206055	583363234.353516	1171337866.162598	1557330945.038086	1796240357.075195	2071125196.147461	2734571291.770996	3195563173.081055	3505762034.717773	3910388518.173340	4209850555.757324	4771806533.182129	5172187370.381348	5452767468.665039	5967374062.189453	6325131410.075684	6492934185.552246	6739843306.218262	6911019058.265625	7038668093.440430	7095980302.234375	6757232305.636719	6489528236.659180	5952026586.649902	5411703478.324707	5213236173.608398	5137883886.021973	5095176759.747559	5567311705.585449	5935793182.542480	5751275496.331055	6046610502.668945	6436786813.070312	6048135017.460938	5501186747.768555	5776424319.936035	5329345479.549316	3616478616.932129	927278836.471191	575977565.391602	135952336.452637	22870573.610352	3383012.465820	425034.680664	52191.739746	7538.997559	1244.132324
172.000000	11552263.436523	28207285.950195	38956836.199707	47330003.349121	66590938.523926	119523470.249512	201970211.384766	301886963.564453	566126728.074219	1140161498.318848	1519441616.458008	1755436060.673828	2026620249.210938	2678202696.633301	3132230447.725586	3439299417.218262	3840251947.384766	4139262165.412598	4698112711.576172	5099454990.153809	5383588108.648926	5900676535.247559	6265501120.812500	6444827456.398926	6701587707.710449	6876620983.761230	6998131440.722656	7041641351.225098	6690207900.498535	6415182943.193848	5883946417.881836	5360728325.229004	5183717820.429688	5130575106.633301	5106339613.888672	5592103177.745605	5967465084.926758	5781323622.650879	6073587533.725098	6458762769.000977	6062003479.046875	5507004230.184082	5775032493.666016	5319386915.002930	3601279192.195801	919208703.950684	568305917.810059	133103353.444336	22160984.233398	3248659.751953	406529.432129	50235.383789	7416.419434	1258.401367
173.000000	11083326.796875	26989765.061035	37199246.953613	45156966.081055	63602843.233887	114521829.138672	194330441.321777	291765409.012695	549400290.863281	1109815759.594727	1482474774.279785	1715559062.995117	1983071582.436523	2622995422.599121	3070151617.579102	3374094697.936523	3771370011.320801	4069853137.580078	4625556208.798340	5027767642.892090	5315376265.325195	5834957911.978027	6206820021.721191	6397425878.884277	6663489578.695801	6841615493.301758	6956385785.516113	6986008175.903809	6622496530.557129	6341186578.622559	5817324068.001465	5311977759.776367	5156778107.572754	5125664702.512207	5119286766.964844	5617963725.282227	5999353173.272461	5810827963.529297	6099321591.738281	6478876346.734863	6073715054.678711	5510486077.888184	5770765181.071289	5306325898.055664	3583683903.596680	910495360.481934	560273191.405762	130198611.511719	21452900.352051	3117026.200195	388773.547363	48434.319336	7322.962891	1277.372559
174.000000	10633432.350586	25824812.621582	35520963.067871	43083698.618164	60748855.566406	109729626.648926	186980011.360352	281983726.910645	533168805.282227	1080278497.874023	1446407940.938477	1676588268.572754	1940458620.169434	2568925523.468750	3009301872.739746	3310124162.820801	3703720551.785645	4001604509.477539	4554121339.846680	4957114058.828125	5248123759.406250	5770207445.242188	6149065190.078125	6350687150.700195	6625493184.573730	6805957836.083984	6913426677.078125	6929131847.567871	6554195558.064941	6267656324.395508	5752258476.611328	5265505880.546387	5132416467.668457	5123101292.880371	5133930738.269531	5644779154.917480	6031335118.318848	5839680852.026855	6123718224.750488	6497048712.588379	6083215700.813965	5511602648.631836	5763612482.312988	5290176293.189941	3563721750.470215	901154351.375000	551893537.895508	127243031.966309	20747458.825684	2988313.101074	371793.122559	46791.088867	7258.759277	1301.018066
175.000000	10201806.574707	24710158.211426	33918405.729492	41105620.254395	58022955.587891	105138086.983887	179907949.773438	272530487.062012	517417602.628906	1051528152.270020	1411219186.550781	1638503061.883789	1898761230.982422	2515969551.042480	2949656901.506836	3247364555.910156	3637281818.291016	3934497641.984375	4483792632.775391	4887482970.998047	5181822065.936035	5706413539.174316	6092212565.730957	6304568410.462891	6587543955.352051	6769606719.865234	6869254635.189453	6871068150.665527	6485404749.564941	6194708533.772461	5688844694.689941	5221361075.238281	5110626049.044434	5122827986.249512	5150180248.791992	5672433299.471191	6063288580.389160	5867776192.137695	6146685932.455078	6513205133.627930	6090455896.912598	5510329000.223633	5753570091.224609	5270957826.551758	3541426141.426758	891202362.515137	543181724.347656	124241622.895508	20045792.387207	2862717.285645	355613.113281	45308.023438	7223.898926	1329.303223
176.000000	9787707.375977	23643629.496094	32388157.646973	39218360.597656	55419393.637695	100738802.306152	173103701.392090	263394644.270508	502132449.588379	1023543737.319336	1376887115.582031	1601283296.500000	1857959718.196289	2464104544.824219	2891192880.244629	3185793069.962402	3572032459.125000	3868514210.609863	4414554817.467285	4818863101.482910	5116462303.731934	5643563761.793457	6036237021.136719	6259026383.402832	6549588672.618164	6732524446.940918	6823875143.171387	6811877401.668945	6416225970.118652	6122458391.371094	5627173617.880859	5179585889.442871	5091393731.323730	5124782519.014160	5167940436.878418	5700808283.550293	6095091480.559082	5895009687.304199	6168136357.737305	6527275130.225586	6095390744.303223	5506644939.291504	5740639303.546387	5248696048.667480	3516834832.240723	880657190.043457	534153107.037109	121199470.647949	19349027.803223	2740430.831543	340257.306152	43987.223145	7218.427246	1362.196289
177.000000	9390422.816895	22623147.992676	30926955.755859	37417749.912598	52932678.199707	96523717.302246	166557111.776855	254565525.354980	487299535.291504	996304827.618164	1343390853.844727	1564909284.497070	1818034810.602051	2413308021.916992	2833886463.419922	3125387337.233887	3507951512.541504	3803636196.608887	4346392814.754883	4751243148.583008	5052035226.921387	5581644861.436523	5981112435.887695	6214017528.789062	6511575651.734863	6694677037.674805	6777298624.437012	6751624253.515625	6346762871.134277	6051019576.057617	5567331731.305664	5140216910.951172	5074700157.073242	5128897407.345215	5187113082.442871	5729784793.130859	6126622271.278809	5921279065.023926	6187984471.605957	6539192619.907227	6097980055.821289	5500535060.743164	5724827014.443359	5223422286.193848	3489989855.643555	869537708.107422	524823604.276855	118121731.201172	18658284.080078	2621640.776855	325748.277832	42830.558594	7242.351074	1399.652344
178.000000	9009269.891602	21646725.013672	29531684.261230	35699809.909180	50557564.303223	92485114.391602	160258411.987793	246032816.595703	472905458.758789	969791542.860352	1310710035.812988	1529361786.099609	1778967653.371094	2363557967.111328	2777714773.810059	3066125420.391113	3445018398.077148	3739845878.248047	4279291725.892578	4684611774.960449	4988531218.609375	5520642786.961426	5926811775.442383	6169498188.568848	6473454918.555176	6656034341.164551	6729540402.622070	6690377486.299316	6277120572.779785	5980503928.191406	5509400866.620605	5103284669.970703	5060519779.424805	5135100111.937500	5207596839.179199	5759242348.499512	6157760205.844238	5946484297.120117	6206148751.156250	6548896052.223145	6098188436.010254	5491988777.838379	5706145705.208008	5195173582.719238	3460937443.182129	857863834.565918	515209668.243164	115013621.434082	17974670.660645	2506528.817871	312107.362305	41839.671387	7295.638672	1441.621094
